epoch,validation_price_mae,loss,price_loss,learning_rate
1.0,0.012454108444213867,0.0342497570836401,0.0342497570836401,0.001
2.0,0.012029573968505859,0.01247304383595705,0.01247304383595705,0.001
3.0,0.010041155786132813,0.01099418880292654,0.01099418880292654,0.001
4.0,0.007858087158203126,0.008621848051757813,0.008621848051757813,0.001
5.0,0.006802580688476562,0.007632748360373974,0.007632748360373974,0.001
6.0,0.006178643753051757,0.006858465792070627,0.006858465792070627,0.001
7.0,0.004892213832092285,0.005690932734782696,0.005690932734782696,0.001
8.0,0.0046484087768554685,0.004893142404942512,0.004893142404942512,0.001
9.0,0.004092611378479004,0.004345533076792955,0.004345533076792955,0.001
10.0,0.003840800521850586,0.003918441287862062,0.003918441287862062,0.001
11.0,0.003403563723754883,0.003604534573625326,0.003604534573625326,0.001
12.0,0.003413236358642578,0.003368340520170331,0.003368340520170331,0.001
13.0,0.0030175452575683594,0.003188131337263584,0.003188131337263584,0.001
14.0,0.0029433785690307617,0.0030404116933405397,0.0030404116933405397,0.001
15.0,0.002733237208557129,0.0029186787161570786,0.0029186787161570786,0.001
16.0,0.0028009632301330568,0.00280719302179873,0.00280719302179873,0.001
17.0,0.002628631069946289,0.00271156790029943,0.00271156790029943,0.001
18.0,0.002591772868347168,0.0026186408755612374,0.0026186408755612374,0.001
19.0,0.0025410141235351564,0.002531977953632474,0.002531977953632474,0.001
20.0,0.0024322216110229493,0.00245077591129303,0.00245077591129303,0.001
21.0,0.0022319140754699708,0.0023759202719694375,0.0023759202719694375,0.001
22.0,0.0022971484313964842,0.0023055812011671065,0.0023055812011671065,0.001
23.0,0.002108881463623047,0.0022425009055405854,0.0022425009055405854,0.001
24.0,0.002138624432373047,0.0021804739406198264,0.0021804739406198264,0.001
25.0,0.004514455981445313,0.003313042560353279,0.003313042560353279,0.001
26.0,0.002717289321899414,0.003508933983697295,0.003508933983697295,0.001
27.0,0.00423352737121582,0.0033983521047192813,0.0033983521047192813,0.0005
28.0,0.0019157804862976074,0.001899031059061885,0.001899031059061885,0.0005
29.0,0.001794102108001709,0.0019069592314577104,0.0019069592314577104,0.0005
30.0,0.002035098779296875,0.0019191304339045286,0.0019191304339045286,0.0005
31.0,0.0018249195205688477,0.0018393135676157473,0.0018393135676157473,0.0005
32.0,0.0016965396690368651,0.0019190105246323346,0.0019190105246323346,0.0005
33.0,0.0016762591690063476,0.0018751270870059728,0.0018751270870059728,0.0005
34.0,0.0020952687034606933,0.0018514462226057052,0.0018514462226057052,0.0005
35.0,0.0017063661529541016,0.0018417242431929708,0.0018417242431929708,0.0005
36.0,0.0020822505508422853,0.0017334453436547517,0.0017334453436547517,0.0005
37.0,0.0016712431762695313,0.0018456113208267092,0.0018456113208267092,0.0005
38.0,0.0018615767059326173,0.0017855611539065838,0.0017855611539065838,0.0005
39.0,0.0015953535247802734,0.001774788821938336,0.001774788821938336,0.0005
40.0,0.0018296787467956543,0.0017531590408599376,0.0017531590408599376,0.0005
41.0,0.00149817160987854,0.0017398748384201527,0.0017398748384201527,0.0005
42.0,0.001862544699859619,0.001735847277907133,0.001735847277907133,0.0005
43.0,0.0015689006813049316,0.001715969910799265,0.001715969910799265,0.0005
44.0,0.0019556193702697754,0.0016499454001632334,0.0016499454001632334,0.0005
45.0,0.0015522334426879883,0.0017033115286630392,0.0017033115286630392,0.00025
46.0,0.0007672001632690429,0.0007980408200791478,0.0007980408200791478,0.00025
47.0,0.0008198229278564453,0.0008175916129238904,0.0008175916129238904,0.00025
48.0,0.0008478682430267334,0.0008299838430938125,0.0008299838430938125,0.00025
49.0,0.0007910557865142822,0.0008189458665508032,0.0008189458665508032,0.00025
50.0,0.0008255561740875244,0.0008056539074026048,0.0008056539074026048,0.000125
51.0,0.0006659930541992187,0.0006690637445339561,0.0006690637445339561,0.000125
52.0,0.0006943262901306153,0.0006833618080990016,0.0006833618080990016,0.000125
53.0,0.0006724364517211914,0.0006789542072023452,0.0006789542072023452,0.000125
54.0,0.0006583568029403686,0.0006691658178083599,0.0006691658178083599,0.000125
55.0,0.0006654970525741577,0.0006597155474171042,0.0006597155474171042,0.000125
56.0,0.0006549095993041992,0.0006510068368911743,0.0006510068368911743,0.000125
57.0,0.0006475269882202148,0.0006432249306602776,0.0006432249306602776,0.000125
58.0,0.0006362895412445068,0.0006353438251706958,0.0006353438251706958,0.000125
59.0,0.0006248757518768311,0.0006282766196234525,0.0006282766196234525,0.000125
60.0,0.0006192448566436768,0.0006223258198598027,0.0006223258198598027,0.000125
61.0,0.0006097728050231934,0.000615598111666292,0.000615598111666292,0.000125
62.0,0.0006015605144500733,0.0006096595078535378,0.0006096595078535378,0.000125
63.0,0.0006005830997467041,0.0006042948312568664,0.0006042948312568664,0.000125
64.0,0.0005732933216094971,0.0005984985313208401,0.0005984985313208401,0.000125
65.0,0.0005991782039642334,0.0005935476736073196,0.0005935476736073196,0.000125
