surrogate_id,activation,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,delta_mae_mean,delta_mae_p95,delta_mae_p99
H-1,relu,0,0,0,deep_otm_weekly,5000,0.00022478218221397528,0.0004517561756074429,0.0007584531243628595,0.001687141473752606,0.004812850440777397,0.01491244413162355
H-1,relu,1,1,0,otm_weekly,5000,0.0006188255580905979,0.0023673860912253996,0.003967023403383795,0.01552756949191268,0.06341143585741521,0.10517366889864208
H-1,relu,2,2,0,atm_weekly,5000,0.0020523397772743523,0.005756215282599443,0.008698291629552848,0.04517619042569285,0.12240982055664065,0.1908256044983868
H-1,relu,3,3,0,itm_weekly,5000,0.0021963242426514627,0.004948765039443971,0.006809593439102173,0.027102477431297303,0.07087033987045288,0.10175836980342866
H-1,relu,4,4,0,deep_itm_weekly,5000,0.002147855973243713,0.004546730220317841,0.005837861299514773,0.011709907710552216,0.03262048363685609,0.058208404183388206
H-1,relu,5,0,1,deep_otm_short,5000,0.00024004955019985604,0.00046996742494229707,0.0007983695325674491,0.0018795920909333635,0.007089462806470694,0.01663427882543374
H-1,relu,6,1,1,otm_short,5000,0.0005520401521617709,0.0017201982031110677,0.003251882363110781,0.013121493635194955,0.046858645230531695,0.07061314031481743
H-1,relu,7,2,1,atm_short,5000,0.0013563245283643266,0.0035771831870079042,0.0052275419147918036,0.03743888976860228,0.09854561686515809,0.16870896756649068
H-1,relu,8,3,1,itm_short,5000,0.001820990577340126,0.004083210229873659,0.0057590363919735104,0.02339768451452255,0.06141880452632904,0.08900482356548316
H-1,relu,9,4,1,deep_itm_short,5000,0.002375510674715042,0.004644958674907685,0.006037815213203433,0.01174645335674286,0.032485625147819525,0.052942974567413474
H-1,relu,10,0,2,deep_otm_medium_short,5000,0.00028117313901961614,0.0006891098135383805,0.001157797719351948,0.0038522297517050333,0.01579947266727686,0.026673382669687346
H-1,relu,11,1,2,otm_medium_short,5000,0.000596764563379055,0.0017087506130337715,0.0025529955502133815,0.01447077255029222,0.0426575154066086,0.06394809521734723
H-1,relu,12,2,2,atm_medium_short,5000,0.0011077005273902613,0.00277942642569542,0.004203372672200205,0.02742277703654545,0.07129656076431276,0.11550569176673894
H-1,relu,13,3,2,itm_medium_short,5000,0.0014131936460733414,0.0033212035894393923,0.004663898497819902,0.01775142778158188,0.045331633090972906,0.06401517331600191
H-1,relu,14,4,2,deep_itm_medium_short,5000,0.0021994599223136902,0.004411686956882477,0.005419339537620545,0.010526524472236634,0.027681323885917666,0.04233505547046666
H-1,relu,15,0,3,deep_otm_medium,5000,0.0004938530953633881,0.0014522409066557887,0.0020413902774453173,0.009275600928823652,0.028570026531815538,0.04154159553349018
