surrogate_id,sampler,bin_id,moneyness_idx,maturity_idx,bin_label,is_critical,n_points,price_mae_mean,price_mae_p95,price_mae_p99,iv_mae_mean,iv_mae_p95,iv_mae_p99,iv_failure_rate
H-3,uniform,0,0,0,deep_otm_weekly,False,5000,0.001088445662069567,0.003070674724949643,0.006803478567617287,1.5719413476827635,2.3598183811943314,2.659894086316154,0.41
H-3,uniform,1,1,0,otm_weekly,False,5000,0.002197626358374642,0.0064401180925870005,0.009936367009600003,0.2339477210213697,0.9358066441401565,1.1273036092325435,0.5858
H-3,uniform,2,2,0,atm_weekly,True,5000,0.00434130549419122,0.009302636608481407,0.012337174117565174,0.08370859809171559,0.18005187073071022,0.24747187087447245,0.0672
H-3,uniform,3,3,0,itm_weekly,False,5000,0.00279574129730463,0.006514437496662141,0.008526095971465114,0.0910611779641076,0.2069772943440077,0.2891211790769517,0.4134
H-3,uniform,4,4,0,deep_itm_weekly,False,5000,0.001694662606716156,0.004422590136528016,0.006387175321578981,0.5848120655082831,1.136611793245324,1.3301071095686565,0.558
H-3,uniform,5,0,1,deep_otm_short,False,5000,0.0006845487526317718,0.0018718583547212124,0.0033938057397118445,0.7774832411057989,1.5691472558586694,1.8124570214262035,0.3558
H-3,uniform,6,1,1,otm_short,False,5000,0.0011471754086859345,0.0032824444429024884,0.005390458079054955,0.08000243034571403,0.4191724202594105,0.697285281962334,0.3138
H-3,uniform,7,2,1,atm_short,True,5000,0.0017521171781807428,0.005460250703617936,0.008520016708644123,0.023044502164304356,0.07415245367965759,0.12348624660451543,0.021
H-3,uniform,8,3,1,itm_short,False,5000,0.0014058457776904105,0.0035867258906364446,0.004836974889039995,0.03206619169836526,0.09340738579575819,0.14819380089804227,0.1534
H-3,uniform,9,4,1,deep_itm_short,False,5000,0.0016056895673274994,0.0036109566688537617,0.0050373780727386505,0.25388318675566246,0.6704722983391691,0.8437902109585445,0.1462
H-3,uniform,10,0,2,deep_otm_medium_short,False,5000,0.00040880459415451815,0.0011143406846940707,0.0018632022989913846,0.19019410561176223,0.8153611964071403,1.053255812952435,0.2658
H-3,uniform,11,1,2,otm_medium_short,False,5000,0.000750869881155156,0.00180073706433177,0.002655486445873982,0.021088894348836137,0.06591910047692473,0.2647885405736676,0.0842
H-3,uniform,12,2,2,atm_medium_short,True,5000,0.0010835760123023648,0.00310566918924451,0.005282681267708548,0.008168029373002858,0.025412459794217707,0.044970839142228915,0.0036
