surrogate_id,role,loss,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,delta_mae_mean,delta_mae_p95,delta_mae_p99
H-3-small,small_price,price,0,0,0,deep_otm_weekly,5000,0.001281642619775167,0.003406392829492689,0.0053646260206294035,0.012070795773811309,0.030028631799358312,0.04013298491426691
H-3-small,small_price,price,1,1,0,otm_weekly,5000,0.0030621147578218156,0.00842078883251816,0.011971187187335268,0.03898279953455858,0.09052231404930357,0.11573488308407834
H-3-small,small_price,price,2,2,0,atm_weekly,5000,0.007334465788004909,0.01651216391474009,0.02054091809317471,0.07161032853179657,0.2045598350689138,0.29381090748473115
H-3-small,small_price,price,3,3,0,itm_weekly,5000,0.005197361406683922,0.012620826438069346,0.015781640112400058,0.04428852279186249,0.09110527634620667,0.11196613311767582
H-3-small,small_price,price,4,4,0,deep_itm_weekly,5000,0.005082473456859589,0.010493865609169007,0.013693927228450777,0.013393621146678924,0.0351872205734253,0.05047290205955507
H-3-small,small_price,price,5,0,1,deep_otm_short,5000,0.0010967981774065473,0.0026240971843662928,0.0038005085475742903,0.008353178256991469,0.021796181136778614,0.028607305798081597
H-3-small,small_price,price,6,1,1,otm_short,5000,0.0019996148310514085,0.004818068724125625,0.007071726345457136,0.01917881529434326,0.05023779142647982,0.07792430765926846
H-3-small,small_price,price,7,2,1,atm_short,5000,0.003315544864313891,0.008273321390151977,0.011282977871596827,0.03828663680930971,0.14408364538103346,0.23501282870769521
H-3-small,small_price,price,8,3,1,itm_short,5000,0.002551857233047485,0.006998420506715775,0.00990117087960245,0.02109304972887039,0.050454738736152666,0.07180686652660383
H-3-small,small_price,price,9,4,1,deep_itm_short,5000,0.0036434092700481416,0.007400807738304138,0.009428835511207583,0.010399197828769684,0.02882976233959199,0.03737126588821412
H-3-small,small_price,price,10,0,2,deep_otm_medium_short,5000,0.0013305888039175763,0.0029182777740061287,0.0038710360275581524,0.006426700134800214,0.016304781562669367,0.022590362057089808
H-3-small,small_price,price,11,1,2,otm_medium_short,5000,0.0019663405636474785,0.003931897529400885,0.004860796472057702,0.014562343847141028,0.03623431120067835,0.058073859326541556
H-3-small,small_price,price,12,2,2,atm_medium_short,5000,0.002014562194397149,0.005636555957607927,0.009072962870122868,0.024485214292048477,0.09863439947366716,0.2053390633314853
H-3-small,small_price,price,13,3,2,itm_medium_short,5000,0.0015626946568489074,0.003921516239643097,0.005416336953639991,0.00942557430267334,0.028317081928253177,0.04668070018291475
H-3-small,small_price,price,14,4,2,deep_itm_medium_short,5000,0.002627221882343292,0.005928978323936463,0.007691828608512879,0.0092366952419281,0.026059436798095702,0.033622476458549516
H-3-small,small_price,price,15,0,3,deep_otm_medium,5000,0.0015528891741962397,0.002970882318913937,0.003988003386184578,0.006192498677623942,0.015927625633776192,0.024388684134319192
H-3-small,small_price,price,16,1,3,otm_medium,5000,0.002172401451545696,0.003993925917893648,0.006003045672550818,0.010167742524338667,0.03406085043679923,0.07858730994164972
H-3-small,small_price,price,17,2,3,atm_medium,5000,0.0017664115539941122,0.003927353769540787,0.00937512563541536,0.012680311579280533,0.0448152780532837,0.15157318823039592
H-3-small,small_price,price,18,3,3,itm_medium,5000,0.001053970693051815,0.0026978164911270162,0.00395824179053307,0.009326917088031768,0.01827986538410187,0.033701875805854924
H-3-small,small_price,price,19,4,3,deep_itm_medium,5000,0.0028302024483680727,0.006148028373718263,0.00805926084518433,0.008101647078990937,0.019681307673454287,0.02623155176639558
H-3-small,small_price,price,20,0,4,deep_otm_long,5000,0.0021136565690783185,0.00408434122800827,0.00603195718780626,0.00797505927188802,0.021373165398836137,0.038209288343787215
H-3-small,small_price,price,21,1,4,otm_long,5000,0.0022331808748617264,0.004863665578886867,0.008504063934087766,0.010147682369320482,0.037116964906454136,0.10069718778133478
H-3-small,small_price,price,22,2,4,atm_long,5000,0.0019065969548591965,0.004395712912082679,0.011381666101515312,0.010070972832059488,0.03370802998542786,0.12698547869920732
H-3-small,small_price,price,23,3,4,itm_long,5000,0.0012377039909362794,0.0031657278537750256,0.004755838513374329,0.008051476562023163,0.018479099869728087,0.03457966923713686
H-3-small,small_price,price,24,4,4,deep_itm_long,5000,0.0026216702938079836,0.006667995452880861,0.00933695435523987,0.009409557402133941,0.023938292264938363,0.03317833662033085
H-6-small,small_dml,differential,0,0,0,deep_otm_weekly,5000,0.0008771622533449403,0.0023502334282284225,0.005559951045233914,0.0046382618114202846,0.01743289905070924,0.041114730576341574
H-6-small,small_dml,differential,1,1,0,otm_weekly,5000,0.0017215614161103666,0.005553484084339292,0.010516742710024124,0.015452368551937405,0.04789835028350354,0.07432315541037991
H-6-small,small_dml,differential,2,2,0,atm_weekly,5000,0.003661532389047215,0.009849698189646008,0.013844716046005505,0.02954595864878399,0.0924709588289262,0.18585074179047018
H-6-small,small_dml,differential,3,3,0,itm_weekly,5000,0.00392231488674879,0.010308829322457315,0.014350654184818271,0.018274802327156066,0.04622049331665039,0.06631236135959626
H-6-small,small_dml,differential,4,4,0,deep_itm_weekly,5000,0.0022009220659732816,0.006021793186664582,0.00985300153493882,0.00820107616186142,0.019374224543571475,0.029192054271698024
H-6-small,small_dml,differential,5,0,1,deep_otm_short,5000,0.0006465672977420076,0.0015853081473323984,0.0030705562706862116,0.002662853617787655,0.008118045120500031,0.016810568007640556
H-6-small,small_dml,differential,6,1,1,otm_short,5000,0.0009444237338936525,0.002831418451387436,0.004760527689941232,0.00788921148506084,0.021172542124986652,0.032119067348539844
