surrogate_id,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,iv_mae_mean,iv_mae_p95,iv_mae_p99,iv_failure_rate,vega_proxy_mean,iv_to_price_ratio
BS-3,0,0,0,deep_otm_weekly,5000,0.00269372361042838,0.008003874110181641,0.009901882998474327,1.8853938432789108,2.9890833437265765,3.2962401480613077,0.4294,0.0001244987895627727,699.9210446015576
BS-3,1,1,0,otm_weekly,5000,0.0029400365408160994,0.006852423957025168,0.00890447795391083,0.27576535226851684,1.0245085831730483,1.1918990558389724,0.6354,0.009515739570368203,93.79657308339763
BS-3,2,2,0,atm_weekly,5000,0.007778472194977528,0.014987499825656418,0.01805585663765669,0.14797718867980678,0.26892756514593413,0.3283282362417232,0.0876,0.048062290010195796,19.023940045109885
BS-3,3,3,0,itm_weekly,5000,0.0035619444236159323,0.007800095528364181,0.011339460611343386,0.12927086380587371,0.4485364720043387,0.5836339609200653,0.5712,0.017238841187851652,36.29221807864243
BS-3,4,4,0,deep_itm_weekly,5000,0.003551605153083801,0.009954123198986054,0.011430225372314457,0.6767228674171412,1.0001281703377525,1.1196308746893058,0.8286,0.0010283369125786387,190.54000606727178
BS-3,5,0,1,deep_otm_short,5000,0.0016782835897911255,0.004397307826366159,0.006080152540635032,1.0394965838706938,1.8862425870721462,2.1846897297617183,0.4298,0.0016499525712084314,619.3807710412437
BS-3,6,1,1,otm_short,5000,0.00138083150693425,0.00319461927865632,0.004588134065270427,0.11331339345885884,0.6405594419915314,0.8117002875142616,0.4008,0.025440083212361568,82.06170911499515
BS-3,7,2,1,atm_short,5000,0.0031540224821735956,0.0072016678750515,0.0094265860831365,0.04017044922996356,0.09593722238814217,0.12509321002353624,0.079,0.07680249553166972,12.736259635752527
BS-3,8,3,1,itm_short,5000,0.0017805617943406106,0.004366923868656159,0.005785171836614612,0.04976979699169814,0.2522011973091199,0.3853567698603987,0.3442,0.041193695500439616,27.951738125510673
BS-3,9,4,1,deep_itm_short,5000,0.0018771987140178681,0.005264836549758912,0.006855520308017732,0.27158471049122357,0.6151540527855662,0.6998890095362439,0.6982,0.006409217284768464,144.67552553876217
BS-3,10,0,2,deep_otm_medium_short,5000,0.0007458039146573812,0.0019804714713245633,0.002686769934371114,0.30515732339193125,0.981331589066057,1.242138221238301,0.2108,0.013410992691450943,409.16562302052154
BS-3,11,1,2,otm_medium_short,5000,0.0006930720438196714,0.0017810687422752383,0.0023964120477506876,0.03526806293243431,0.3082968338625019,0.48358463399253016,0.141,0.0711847979179262,50.88657556877394
BS-3,12,2,2,atm_medium_short,5000,0.0016048971186726397,0.002849682793021203,0.005608326494693773,0.010906360158825429,0.0186763456719644,0.04758012663318538,0.048,0.13961853204758828,6.795675580653879
BS-3,13,3,2,itm_medium_short,5000,0.0007405565723776818,0.0017903223633766174,0.0031939032673835755,0.01705583752060716,0.10207740444931258,0.2032620550183006,0.1032,0.09894663954084282,23.031106814495637
BS-3,14,4,2,deep_itm_medium_short,5000,0.001193927276134491,0.003263545036315918,0.004494955539703374,0.04619720786107246,0.1977079801963881,0.31266079147212716,0.4184,0.03601066098970028,38.69348559540618
BS-3,15,0,3,deep_otm_medium,5000,0.0006343016744621981,0.001980673613699581,0.0026211075920414832,0.0783031904010922,0.4622750768971366,0.6493871488659168,0.0536,0.07997529824938726,123.44786960791598
BS-3,16,1,3,otm_medium,5000,0.0007363819541704696,0.0017531339868274134,0.002537048565291529,0.009426196925083763,0.03252399011258512,0.17512737867132347,0.0508,0.19423788927926453,12.800689739474027
BS-3,17,2,3,atm_medium,5000,0.0010177041321662273,0.0023670045658946044,0.004039430618286148,0.0037431506433131894,0.00995203117848581,0.015864867155500017,0.0178,0.27912083471237603,3.6780342390334324
BS-3,18,3,3,itm_medium,5000,0.0007486379921436309,0.0016433484852314004,0.002078993618488312,0.006212642679774454,0.021841052518177567,0.0798650982099786,0.037,0.24110551660878674,8.29859390649589
BS-3,19,4,3,deep_itm_medium,5000,0.0009425894200801849,0.002331095933914185,0.0032614123821258553,0.016520307166425444,0.09218119756259281,0.16985742876036808,0.1854,0.1583042203684202,17.526514529539366
BS-3,20,0,4,deep_otm_long,5000,0.00064417519896627,0.0015825151931494474,0.002522033285349608,0.021642925322312122,0.17589570376856362,0.3049219853852547,0.0666,0.17980822109285965,33.59788665729955
BS-3,21,1,4,otm_long,5000,0.0009285086602484711,0.0020290940999984743,0.0033878129720687866,0.0028470038029607065,0.007315898438201646,0.012507520792330428,0.04,0.3384503291189331,3.0662113611291915
BS-3,22,2,4,atm_long,5000,0.0013079608933767304,0.002911919332109393,0.005049370918422946,0.0030977856777511196,0.006936435814270362,0.01289960169287527,0.0102,0.4194007895001856,2.3684084848696374
BS-3,23,3,4,itm_long,5000,0.0012335283607244492,0.0026138901710510264,0.003999872803688057,0.0036933661050862687,0.008088171551704708,0.021349169809293005,0.0426,0.38677687198891314,2.9941477007607356
BS-3,24,4,4,deep_itm_long,5000,0.001537650614976883,0.003455722332000733,0.004560265541076671,0.008543407858532375,0.03281400348435978,0.09463797698258505,0.0984,0.3188494887131098,5.556143752890715
H-3,0,0,0,deep_otm_weekly,5000,0.001088445662069567,0.003070674724949643,0.006803478567617287,1.5719413476827635,2.3598183811943314,2.659894086316154,0.41,7.305614211239255e-05,1444.207462496455
H-3,1,1,0,otm_weekly,5000,0.002197626358374642,0.0064401180925870005,0.009936367009600003,0.2339477210213697,0.9358066441401565,1.1273036092325435,0.5858,0.008156782848158357,106.45473018188441
H-3,2,2,0,atm_weekly,5000,0.00434130549419122,0.009302636608481407,0.012337174117565174,0.08370859809171559,0.18005187073071022,0.24747187087447245,0.0672,0.049576575394900055,19.28189532013351
H-3,3,3,0,itm_weekly,5000,0.00279574129730463,0.006514437496662141,0.008526095971465114,0.0910611779641076,0.2069772943440077,0.2891211790769517,0.4134,0.01774936296159537,32.57138922399564
H-3,4,4,0,deep_itm_weekly,5000,0.001694662606716156,0.004422590136528016,0.006387175321578981,0.5848120655082831,1.136611793245324,1.3301071095686565,0.558,0.001447851306468133,345.0905585516557
H-3,5,0,1,deep_otm_short,5000,0.0006845487526317718,0.0018718583547212124,0.0033938057397118445,0.7774832411057989,1.5691472558586694,1.8124570214262035,0.3558,0.0008788244182720846,1135.7602188547378
H-3,6,1,1,otm_short,5000,0.0011471754086859345,0.0032824444429024884,0.005390458079054955,0.08000243034571403,0.4191724202594105,0.697285281962334,0.3138,0.02310482294291162,69.73862038879925
