epoch,validation_price_mae,loss,price_loss,delta_loss
1.0,0.01887583356323242,0.1786558708015442,0.05392296318321228,0.1247329078502655
2.0,0.01143144946899414,0.05403218254499435,0.01449781377043724,0.0395343689057827
3.0,0.010275350372314453,0.03832010752468109,0.01151967080616951,0.026800436743998526
4.0,0.008993204833984376,0.03134382940764427,0.009717753380477428,0.021626076052117346
5.0,0.008789654125976562,0.028008052397346498,0.008971630457556248,0.019036421970844267
6.0,0.007952317105102538,0.024680296586370467,0.008503167856574059,0.01617712875519991
7.0,0.007267965646362304,0.022191531838560104,0.00797840000499487,0.014213131818842888
8.0,0.007025535049438476,0.0207684412848711,0.007551729488784075,0.013216711809551716
9.0,0.0070261074676513675,0.019678278045439722,0.007142112487971783,0.012536165557467938
10.0,0.005697388989257812,0.018702144292497634,0.006747148894888162,0.011954995373463631
11.0,0.006307528247070313,0.01772075346927643,0.006336366720026731,0.011384386729681492
12.0,0.005768391082763672,0.01669290124909878,0.005898771067076922,0.010794130148720741
13.0,0.0053200798583984375,0.015673482969236374,0.005485621234709024,0.010187861737847328
14.0,0.005538713714599609,0.014852900780439377,0.0051817680393219,0.009671132744705676
15.0,0.004927338935852051,0.014199179322206974,0.0049454244493961335,0.009253754877388477
16.0,0.004638984436035156,0.013673032477641105,0.0047577725905835625,0.008915259871530534
17.0,0.004733865879821777,0.01319566898033619,0.004593726923555135,0.008601942075359822
18.0,0.004893760339355469,0.012791492024707795,0.00444760753287673,0.008343884480118751
19.0,0.004248497497558594,0.012436718022501469,0.004344715437340736,0.008092002585923672
20.0,0.0037545336486816405,0.01206343185904026,0.004199396865969897,0.007864034983420372
21.0,0.004919982629394531,0.011760436476278306,0.004123691313284636,0.007636745175200701
22.0,0.003409059408569336,0.011441540323603153,0.003999363920590282,0.007442176414591074
23.0,0.003960763166809082,0.011128174881505967,0.0038704804928272963,0.007257694397968054
24.0,0.004184493176269531,0.01087891016408205,0.003800943496194482,0.0070779666639387605
25.0,0.0034906703384399414,0.010589808700835705,0.003694191336160898,0.0068956173692524434
26.0,0.0035572681381225587,0.010322352850294113,0.0035961884944170712,0.006726164377373457
27.0,0.002925431558227539,0.01011675007197857,0.0035475370151638983,0.006569213047927618
28.0,0.00330253994140625,0.009891163047337533,0.0034532942574381827,0.006437868778949976
29.0,0.0032093482894897463,0.009667380112791061,0.0033805205107837917,0.006286859597563744
30.0,0.003478653128051758,0.009486733658778668,0.003341189860609174,0.006145543785828352
31.0,0.0034881147018432615,0.009303569998168944,0.003244009773731232,0.006059560205858946
32.0,0.0032782630310058593,0.009122913208758831,0.003195325187858939,0.005927587996351719
33.0,0.0035702793533325195,0.00895272845839262,0.003148687954211235,0.005804040489685535
34.0,0.0034332602249145506,0.008807026016974449,0.0030771100639551876,0.005729915956699848
35.0,0.0026723089813232423,0.008631349587666988,0.0030317080425947903,0.005599641546732187
36.0,0.0029840186614990233,0.008515039904856681,0.002996566406878829,0.005518473487925529
37.0,0.003150397833251953,0.008341176031279565,0.0029307606552273035,0.005410415371340513
38.0,0.0026997280471801758,0.008220838736248017,0.0028797059971243143,0.005341132752990723
39.0,0.0026771602432250977,0.008070550429058075,0.0028220973185420035,0.005248453129094839
40.0,0.0029028073471069338,0.007936968353915214,0.0027932319246321917,0.005143736403477192
41.0,0.002677213475036621,0.007806139174330234,0.002726012447589636,0.005080126726359129
42.0,0.0029834708923339843,0.007665992276585102,0.0027002958847910166,0.004965696388608217
43.0,0.002685629489135742,0.00754362536495924,0.002632555201986432,0.004911070170736313
44.0,0.0022068331466674803,0.0074297508636474606,0.0025967363128989937,0.004833014556986094
45.0,0.0024914774459838867,0.007315060029900074,0.002567496121764183,0.0047475638959288595
46.0,0.0029565824111938478,0.007159931965619325,0.0024924561542510985,0.0046674758094608785
47.0,0.002521403018951416,0.009564314024066925,0.0032661412765443323,0.006298172748935222
48.0,0.005002669729614257,0.00848406919670105,0.0027373252404391765,0.005746743953859806
49.0,0.004068577905273437,0.01339091610095501,0.005334508381086588,0.008056407753932475
50.0,0.004283368978881836,0.011908229541790485,0.004717293657326698,0.007190935860049725
51.0,0.0036090333129882813,0.011148343393945694,0.004387483491688967,0.006760859903782606
52.0,0.003632891535949707,0.010661056997680664,0.0041598423145294185,0.006501214664077759
53.0,0.002506976428985596,0.010324604000020027,0.003922715531438589,0.006401888483077288
54.0,0.0020566079849243164,0.008614084055995942,0.002272166298508644,0.006341917760539055
55.0,0.0019773121276855468,0.007452409433686733,0.0020492775687605143,0.005403131875741482
56.0,0.005046711074829102,0.008932649118590355,0.0031298117308974265,0.0058028373791873455
57.0,0.0048509783065795896,0.011410709451711179,0.004683344427084923,0.006727365053617955
58.0,0.004402513790893555,0.010525672585725784,0.004246564002633095,0.006279108567070961
59.0,0.004687699171447754,0.010027086698532105,0.003992314236530662,0.006034772456526756
60.0,0.0039009190063476564,0.009714547968268395,0.003840407676446438,0.005874140268665552
61.0,0.0026452122161865236,0.00942176278320551,0.003521966133400798,0.00589979662438035
62.0,0.002100631118774414,0.007820568622541428,0.0020445024889320135,0.00577606612611413
63.0,0.0021049844161987303,0.006890614560520649,0.0018995053379803897,0.004991109222787619
64.0,0.0042054145446777345,0.008199659624457359,0.0027717031505048277,0.005427956491881609
65.0,0.00406976021118164,0.010745103971874713,0.004400816127014161,0.006344287845623493
66.0,0.003500396336364746,0.00987074603971243,0.0039718117547512055,0.00589893427580595
67.0,0.0035393158996582033,0.009382001739883423,0.0037234743099212645,0.0056585274388492104
68.0,0.0029503730194091796,0.009082151809930801,0.0035508787063926457,0.005531273081278801
69.0,0.0017670590217590332,0.008436454194164276,0.002770664278808236,0.005665789895766974
70.0,0.0019015594871520996,0.0067912171697735784,0.0018535843024641274,0.0049376328731656075
71.0,0.0015689258800506592,0.006344890816873312,0.0017847891700699925,0.004560101648777723
72.0,0.005114283599853516,0.009016127196621895,0.0034235176897346974,0.0055926094918966295
73.0,0.003958205944824219,0.009877616510462761,0.003970756946092844,0.005906859573030472
74.0,0.003850422088623047,0.009183797850883007,0.0036498154701977968,0.005533982406759262
75.0,0.0034673334457397463,0.008792781268799305,0.003452837152770162,0.005339944119215011
76.0,0.0021802128440856932,0.008448662326198817,0.0030995538610517977,0.005349108468961716
77.0,0.001719700521850586,0.006732601151031256,0.0018387501638814808,0.004893850977545976
78.0,0.0021877676239013674,0.006090978483217955,0.0017146085170701147,0.004376369966214895
79.0,0.0030708599853515625,0.009179057304215432,0.0035566415543198584,0.005622415743678808
80.0,0.0035664151473999025,0.009106258232450485,0.0036239948431909083,0.0054822634014666085
81.0,0.002646189058685303,0.00860266201120615,0.0033904968994796277,0.005212165102571249
82.0,0.002810881315612793,0.00831138527251482,0.0032326508257061242,0.005078734444385767
83.0,0.0018081962348937988,0.008090780781185627,0.0029410214712679386,0.005149759317928553
84.0,0.0017441930061340332,0.006604691381788254,0.0017585754722625017,0.004846115905845165
85.0,0.0011690339485168457,0.005896644126206637,0.0016359335023000837,0.004260710625499487
86.0,0.003689145783996582,0.00848609236316681,0.003287907535278797,0.005198184861952067
87.0,0.0028405199996948244,0.00871359131526947,0.003488507508379221,0.005225083785033226
88.0,0.0032132591735839844,0.008230954966819286,0.0032539069111555815,0.004977048084789514
89.0,0.0019254800537109374,0.007916137984991073,0.002965882891151309,0.004950255097788572
90.0,0.0014932679649353028,0.006297933555012941,0.001743702990359068,0.004554230565416813
91.0,0.0014159429096221924,0.005675934260261059,0.001628923472431302,0.004047010777395964
92.0,0.0035529476806640623,0.008311674725067615,0.003242003186523914,0.005069671525192261
93.0,0.002860099213409424,0.008398002757281064,0.0033291300497174264,0.005068872731977701
94.0,0.0029916306640625,0.00795253193871975,0.0031081489132106306,0.004844383020931482
95.0,0.0022416393226623536,0.0076922718045473095,0.0029530526254743336,0.004739219165587425
96.0,0.0016575839981079101,0.006441387559866905,0.0018213539344325662,0.004620033620923758
97.0,0.004016833096313476,0.005620524624633789,0.001637789983534813,0.003982734643006325
98.0,0.003920764312744141,0.008612274472635984,0.0034372645672440527,0.0051750098725855355
99.0,0.002950504487609863,0.007888241077423096,0.0031204949276298286,0.0047677461504220964
100.0,0.0032142570266723634,0.007559882161569595,0.00291605113581419,0.004643831015074253
