epoch,validation_price_mae,loss,price_loss,learning_rate
1.0,0.013961303149414062,0.03939014386837006,0.03939014386837006,0.001
2.0,0.012918176568603515,0.013383620573935509,0.013383620573935509,0.001
3.0,0.01201694112854004,0.01254490203154564,0.01254490203154564,0.001
4.0,0.010869472259521484,0.011596748511686326,0.011596748511686326,0.001
5.0,0.010336080087280274,0.010707845786087513,0.010707845786087513,0.001
6.0,0.009638638101196289,0.01016738712481022,0.01016738712481022,0.001
7.0,0.009092165942382812,0.009610767402665615,0.009610767402665615,0.001
8.0,0.009256178649902344,0.008978979604446888,0.008978979604446888,0.001
9.0,0.008096146899414063,0.008307820473279952,0.008307820473279952,0.001
10.0,0.0072937726531982425,0.00765193478890419,0.00765193478890419,0.001
11.0,0.0066712406127929684,0.007128894442654848,0.007128894442654848,0.001
12.0,0.0065388163024902345,0.006744495370810032,0.006744495370810032,0.001
13.0,0.005947671066284179,0.006394089224948883,0.006394089224948883,0.001
14.0,0.00598028858795166,0.006060141357808113,0.006060141357808113,0.001
15.0,0.00576476580657959,0.0057627208018004895,0.0057627208018004895,0.001
16.0,0.005228515147399903,0.0055023659253048895,0.0055023659253048895,0.001
17.0,0.00541110251159668,0.005302765498672724,0.005302765498672724,0.001
18.0,0.005047827223205566,0.005113560569857359,0.005113560569857359,0.001
19.0,0.004665927267456055,0.0049574332907104494,0.0049574332907104494,0.001
20.0,0.004714833087158203,0.004815595624676943,0.004815595624676943,0.001
21.0,0.004517598245239258,0.0046719515380215645,0.0046719515380215645,0.001
22.0,0.004517926745605469,0.004533851858170033,0.004533851858170033,0.001
23.0,0.004159481401062011,0.004381443081866503,0.004381443081866503,0.001
24.0,0.004000097354125976,0.004215798889448643,0.004215798889448643,0.001
25.0,0.003947301275634765,0.00402609937345624,0.00402609937345624,0.001
26.0,0.0035386376846313476,0.0038491163885682822,0.0038491163885682822,0.001
27.0,0.003611765855407715,0.0036841837552392485,0.0036841837552392485,0.001
28.0,0.00345467041015625,0.0035437983929628132,0.0035437983929628132,0.001
29.0,0.003460584375,0.0034275868922549486,0.0034275868922549486,0.001
30.0,0.0032617629371643067,0.003332439642317891,0.003332439642317891,0.001
31.0,0.002929930560302734,0.003249675273246765,0.003249675273246765,0.001
32.0,0.0032222815826416016,0.003184025778901577,0.003184025778901577,0.001
33.0,0.003071610843658447,0.003118579962002039,0.003118579962002039,0.001
34.0,0.0029511116744995116,0.00305864561686337,0.00305864561686337,0.001
35.0,0.0031024229690551756,0.0030067025317049027,0.0030067025317049027,0.001
36.0,0.0030509362205505372,0.0029593548576420546,0.0029593548576420546,0.001
37.0,0.002935232386779785,0.0029114254931211473,0.0029114254931211473,0.001
38.0,0.0027685276626586916,0.0028717433495271207,0.0028717433495271207,0.001
39.0,0.0028979390228271486,0.0028296338233667613,0.0028296338233667613,0.001
40.0,0.0027409263816833497,0.00279397742022872,0.00279397742022872,0.001
41.0,0.0028842100524902343,0.0027562599924278257,0.0027562599924278257,0.001
42.0,0.0028272217666625975,0.0027248038163000345,0.0027248038163000345,0.001
43.0,0.0027003622817993165,0.0026905614566504954,0.0026905614566504954,0.001
44.0,0.0024771905715942383,0.002661092903404236,0.002661092903404236,0.001
45.0,0.002620339630126953,0.002636573025355935,0.002636573025355935,0.001
46.0,0.0027125822998046874,0.002603705613526702,0.002603705613526702,0.001
47.0,0.0024699830459594726,0.0025768479096776246,0.0025768479096776246,0.001
48.0,0.0025976768508911134,0.0025490539198052883,0.0025490539198052883,0.001
49.0,0.002502673878479004,0.0025254079237389563,0.0025254079237389563,0.001
50.0,0.002565780436706543,0.002500848808310628,0.002500848808310628,0.001
51.0,0.002529511589050293,0.0024781133135539295,0.0024781133135539295,0.001
52.0,0.002329613777923584,0.0024527550191402437,0.0024527550191402437,0.001
53.0,0.0024212551223754884,0.002431784346032143,0.002431784346032143,0.001
54.0,0.0023451521286010743,0.002410405158843398,0.002410405158843398,0.001
55.0,0.00270592875289917,0.002384643492549658,0.002384643492549658,0.001
56.0,0.002386240187072754,0.002372048666359186,0.002372048666359186,0.001
57.0,0.002331396465301514,0.0023480179397219417,0.0023480179397219417,0.001
58.0,0.0023191235961914063,0.0023288629127210378,0.0023288629127210378,0.001
59.0,0.0022999143196105955,0.0023096541204839943,0.0023096541204839943,0.001
60.0,0.002297584511566162,0.002292399812425375,0.002292399812425375,0.001
61.0,0.0023742430755615235,0.0022732749199426174,0.0022732749199426174,0.001
62.0,0.002238096343231201,0.0022574006470006706,0.0022574006470006706,0.001
63.0,0.002280621346282959,0.0022389159943282605,0.0022389159943282605,0.001
64.0,0.002194821608734131,0.0022218611270713806,0.0022218611270713806,0.001
65.0,0.002113140005493164,0.0022098979254716634,0.0022098979254716634,0.001
66.0,0.002255234122467041,0.002190351486310959,0.002190351486310959,0.001
67.0,0.0022019695678710937,0.0021769587426656483,0.0021769587426656483,0.001
68.0,0.002120079801940918,0.002162076658703089,0.002162076658703089,0.001
69.0,0.0021523615684509276,0.0021464218365156652,0.0021464218365156652,0.001
70.0,0.0021784558547973632,0.0021352486569327115,0.0021352486569327115,0.001
