epoch,validation_price_mae,loss,price_loss
1.0,0.029521911096191407,0.05390513575770855,0.05390513575770855
2.0,0.02681019270019531,0.019906458948278426,0.019906458948278426
3.0,0.01369456177368164,0.017485032993590832,0.017485032993590832
4.0,0.0172636865234375,0.014851731878614426,0.014851731878614426
5.0,0.013842852551269531,0.014082088192760944,0.014082088192760944
6.0,0.009656311724853515,0.012685594313442707,0.012685594313442707
7.0,0.010173524185180664,0.013523428766775132,0.013523428766775132
8.0,0.010152146817016601,0.011947675750899315,0.011947675750899315
9.0,0.009642588525390626,0.013353583456480503,0.013353583456480503
10.0,0.009538355236816407,0.010569281828200817,0.010569281828200817
11.0,0.012262256756591797,0.012144728174066543,0.012144728174066543
12.0,0.01149659771118164,0.010869882549142838,0.010869882549142838
13.0,0.016867329473876952,0.011536252723312377,0.011536252723312377
14.0,0.01497370806274414,0.0100392570671916,0.0100392570671916
15.0,0.007586195373535156,0.009549210303401947,0.009549210303401947
16.0,0.007348650964355469,0.010160023185098172,0.010160023185098172
17.0,0.005502989260864258,0.008555086555504798,0.008555086555504798
18.0,0.009548313906860352,0.008413205036878585,0.008413205036878585
19.0,0.011099724517822266,0.007181782555377483,0.007181782555377483
20.0,0.006747841815185547,0.007069987682533264,0.007069987682533264
21.0,0.00584094363861084,0.0067670671368658545,0.0067670671368658545
22.0,0.004888726531982422,0.008067120961868762,0.008067120961868762
23.0,0.011812110052490235,0.0063739632159590725,0.0063739632159590725
24.0,0.007890364642333985,0.007424055402803421,0.007424055402803421
25.0,0.0040076877960205076,0.005376090751981736,0.005376090751981736
26.0,0.008270248266601563,0.00551096033796668,0.00551096033796668
27.0,0.008100663507080079,0.007937052672195435,0.007937052672195435
28.0,0.006457986981201172,0.005678543625348806,0.005678543625348806
29.0,0.007602289767456054,0.005841919903635979,0.005841919903635979
30.0,0.005624245178222656,0.007534698062139749,0.007534698062139749
31.0,0.005210724676513672,0.005234704034507274,0.005234704034507274
32.0,0.0067676083374023435,0.006564015347373485,0.006564015347373485
33.0,0.005142446455383301,0.005828289824783802,0.005828289824783802
34.0,0.00462332239074707,0.004851256506216526,0.004851256506216526
35.0,0.00935169663696289,0.005854443354094028,0.005854443354094028
36.0,0.0029604319511413574,0.005850156852614879,0.005850156852614879
37.0,0.004052033566284179,0.004982697058591247,0.004982697058591247
38.0,0.006985705737304688,0.005876488154745102,0.005876488154745102
39.0,0.0034883126342773437,0.005533399425268174,0.005533399425268174
40.0,0.0041948117156982425,0.004919673665201664,0.004919673665201664
41.0,0.006894505169677734,0.005740503586500883,0.005740503586500883
42.0,0.007465976202392578,0.004705355659085512,0.004705355659085512
43.0,0.005815333081054688,0.005029378181940317,0.005029378181940317
44.0,0.0032819994903564454,0.005313270528745652,0.005313270528745652
45.0,0.003701527200317383,0.004331400239065289,0.004331400239065289
46.0,0.004439149209594727,0.00519093691329956,0.00519093691329956
47.0,0.0067232497741699215,0.004204088800853491,0.004204088800853491
48.0,0.0024719694869995115,0.004729875803560019,0.004729875803560019
49.0,0.004596065481567383,0.005075370904517174,0.005075370904517174
50.0,0.005486108053588867,0.0047279173766553405,0.0047279173766553405
51.0,0.003941367990112305,0.004639109134429693,0.004639109134429693
52.0,0.004529910983276367,0.0047039518832921986,0.0047039518832921986
53.0,0.0037270580596923827,0.0036562844105005265,0.0036562844105005265
54.0,0.004216507629394531,0.00525926161852479,0.00525926161852479
55.0,0.00626251614074707,0.004350120018425584,0.004350120018425584
56.0,0.00418582739868164,0.004247855385780335,0.004247855385780335
57.0,0.003525672917175293,0.004216450601482392,0.004216450601482392
58.0,0.004592521533203125,0.00410019104731679,0.00410019104731679
59.0,0.004486849813842774,0.004176557386761904,0.004176557386761904
60.0,0.0022162110580444335,0.003821403482365608,0.003821403482365608
61.0,0.0032015746505737303,0.0037264374843776226,0.0037264374843776226
62.0,0.003865361309814453,0.004606560799664259,0.004606560799664259
63.0,0.0022169199172973634,0.0034134474330306053,0.0034134474330306053
64.0,0.0026502842071533203,0.0039961573299437765,0.0039961573299437765
65.0,0.0027738078048706056,0.003290805975037813,0.003290805975037813
66.0,0.004282204919433594,0.004005287896451354,0.004005287896451354
67.0,0.0040357841278076175,0.00430096254620552,0.00430096254620552
68.0,0.0028535446403503417,0.0037514125198215248,0.0037514125198215248
69.0,0.0028940128776550294,0.003804883088108897,0.003804883088108897
70.0,0.003549597554016113,0.003750459641391039,0.003750459641391039
71.0,0.0023218381912231446,0.003597060756853223,0.003597060756853223
72.0,0.0033793162780761717,0.0037343770193576814,0.0037343770193576814
73.0,0.0033699590576171876,0.003868214200973511,0.003868214200973511
74.0,0.004423195100402832,0.0032733433753073214,0.0032733433753073214
75.0,0.0046746317626953126,0.0032837147793233394,0.0032837147793233394
76.0,0.004042773516845703,0.00367211773981452,0.00367211773981452
77.0,0.004214356298828125,0.0037043190922141076,0.0037043190922141076
78.0,0.004426586209106445,0.0036270991921246052,0.0036270991921246052
79.0,0.0019555591064453126,0.0035823286737948655,0.0035823286737948655
80.0,0.0034218459732055662,0.003561081826406717,0.003561081826406717
81.0,0.0018440852096557618,0.003107728758251667,0.003107728758251667
82.0,0.0027720491401672363,0.004158981042760611,0.004158981042760611
83.0,0.0033167428871154784,0.00323001408469677,0.00323001408469677
84.0,0.0032830807647705076,0.0036592287303864957,0.0036592287303864957
85.0,0.002406351690673828,0.003614400282201171,0.003614400282201171
86.0,0.0017890994491577149,0.0031486390953451393,0.0031486390953451393
87.0,0.0029533649513244628,0.0031165613610327244,0.0031165613610327244
88.0,0.0028260622451782226,0.0031216437954455613,0.0031216437954455613
89.0,0.0036826385070800782,0.0035547163021594284,0.0035547163021594284
90.0,0.0021441334884643557,0.0033620492520272734,0.0033620492520272734
91.0,0.0035312271179199217,0.0026485328961491587,0.0026485328961491587
92.0,0.00445951008605957,0.0028135943925797938,0.0028135943925797938
93.0,0.002843886097717285,0.0035881569708555937,0.0035881569708555937
94.0,0.0027373957389831543,0.0030635223453849554,0.0030635223453849554
95.0,0.0034355563095092773,0.0033913210123896597,0.0033913210123896597
96.0,0.003413253807067871,0.0032703865762650965,0.0032703865762650965
97.0,0.003733956103515625,0.0031750640352249146,0.0031750640352249146
98.0,0.001985615858459473,0.002577548475088179,0.002577548475088179
99.0,0.001963323095703125,0.0028634171467334033,0.0028634171467334033
100.0,0.002639418389892578,0.003472931792086363,0.003472931792086363
